Model,Name,Odometer,VIN,BidType,Ammount,BuyerName
,,,,Bid,"$2,300","FUN WORLD AUTO SALES"
,,,,Bid,"$2,200","ROYAL MOTOR"
,,,,Bid,"$1,900","STAR AUTO SALES"
,,,,SOLD,"$2,300","FUN WORLD AUTO SALES"
2007,"DODGE GRAND CARAV SE",68224,1D4GP24R47B104197,,,
,,,,Bid,"$3,700","ANDYS AUTO SALES"
,,,,SOLD,"$3,700","ANDYS AUTO SALES"
2015,"CHEVROLET G2500 CARGO 4X2",24942,1GCWGGFF7F1101534,,,
,,,,SOLD,"$17,100","ROYAL MOTORS WHOLESALE"
2014,"FORD E350 CLUB WAGON XLT",39440,1FBSS3BL4EDA66678,,,
,,,,IF Sale,"$13,200","BAY MOTORS INC"
2016,"CHEVROLET CRUZE LIMITED LT",11631,1G1PE5SB3G7101605,,,
,,,,IF Sale,"$9,200","UNITED MOTOR SALES"
2014,"HYUNDAI ELANTRA SE",34636,5NPDH4AE2EH477602,,,
,,,,SOLD,"$7,500","UNITED MOTOR SALES"
2012,"FORD ESCAPE FWD V6 XLT",101039,1FMCU0DG5CKC47284,,,
,,,,Bid,"$6,100","FUN WORLD AUTO SALES"
,,,,SOLD,"$6,100","FUN WORLD AUTO SALES"
2009,"JEEP COMPASS FWD 4C SPORT",96349,1J4FT47B29D188570,,,
